Index	Homograph	Context	TargetWord	Label
1	леса	Языки довольно существенно отличаются друг от друга, особенно в деталях, опять же жизненно важных (подробные данные о состоянии снежного наста, льда на реках, леса и т. п.). Этнографы говорят, что практически не встречалось среди них людей, не способных освоить несколько языков.	леса	1
2	леса	В оценку стоимости даров леса Бурятии включается оценка стоимости кедрового ореха, дикорастущих ягод, грибов и лекарственно-технического сырья.	леса	1
3	леса	И мы, оставаясь при той структуре экономики, которую имеем, и вкладывая в углубление переработки того же леса солидные средства, могли бы получать неплохие деньги.	леса	1
4	леса	"На создание этого образа начинает ""работать "" и некрасовский ""Мороз, Красный нос "", из которого для детского пользования берется только фрагмент ""Не ветер бушует над бором... "", где главный герой, исторгнутый из контекста поэмы, выступает как ""воевода "", неограниченный властитель зимнего леса и волшебник, убирающий свое ""царство "" в ""алмазы, жемчуг, серебро ""..."	леса	1
5	леса	Вряд ли можно считать нормальным положение, когда страна, владеющая четвертью мировых запасов леса, получает от их эксплуатации вдвое меньше средств, чем тратит на содержание своей лесной службы.	леса	1
6	леса	Шорох леса, лунный свет.	леса	1
7	леса	Начиная с последних десятилетий VI в. на пространстве от Венского леса и Далмации на западе до Потисья на востоке возникает аварская культура.	леса	1
8	леса	Итогами пребывания военнопленных в СССР стали возрожденные ими города, фабрики и заводы, в военное время разрушенные ими же, дороги и каналы, миллионы тонн добытой руды, угля, камня, миллионы кубометров леса и многое другое.	леса	1
9	леса	"В холодную зимнюю ночь увидел он на опушке леса большую толпу людей, поклонников Тора, которые стояли вокруг священного дуба – ""дерева грозы "" и готовились к человеческому жертвоприношению в честь ""Смерти солнца ""."	леса	1
10	леса	Без всяких экскаваторов Николай самолично выкопал на границе леса многометровую дренажную канаву, которая теперь надежно хранит участок от подтопления.	леса	1
11	леса	Не волки, а санитары леса, так сказать.	леса	1
12	леса	Во-вторых, вы можете в любое время всего за несколько минут полностью сменить содержимое своего леса или перекомпоновать растения по-новому.	леса	1
13	леса	Перед ними предстал уголок настоящего леса: высокие стройные березы, густые могучие ели, трепещущие на ветру осины с редким подлеском.	леса	1
14	леса	Разве не было бы более правильным продавать их на вес, или по времени, затраченному на рубку леса, или по труду лесорубов, замеряемому по их возрасту и силе?	леса	1
15	леса	Над подернутой утренней дымкой стеной соседнего леса поднимался ярко-красный диск летнего солнца.	леса	1
16	леса	Летнюю Лапландию не забудешь никогда: светлые ночи с незаходящим солнцем, полные рыбы озера, нетронутая природа таежного леса.	леса	1
17	леса	У немца стенки возведены из мешков, набитых песком, козырьки из каменьев, деревянные, из круглого леса загороди сооружены, все пристреляно, подготовлено, мы же по чистине, дуром валим, ну и вся наша стрелковая дивизия в первый же день там, на косе, осталась.	леса	1
18	леса	Обида не давала уснуть, мальчик прислушивался к мужественным голосам за стенкой, выстрелам и погоням, под окнами неспешно проезжали редкие машины, и свет их фар отбрасывал тени на стены и потолок, отчего комнатные цветы – вьетнамские кактусы, бегонии, лимонные деревца, финиковые пальмы, инжир, традесканции, аспарагус и алоэ – приобретали расплывчатые очертания тропического леса, куда уносилась и наконец засыпала Колюнина душа, мечтая о взрослой жизни как об освобождении.	леса	1
19	леса	Темнела частая штриховка голого прозрачного леса.	леса	1
20	леса	Рыжая хозяюшка из леса пришла – курочку унесла.	леса	1
21	леса	Штабеля строевого леса, досок, аккуратно накрытые рубероидом.	леса	1
22	леса	Из сизого леса прибежала лосиха с лосенком.	леса	1
23	леса	"Уже на фоне внушительных результатов пушкинистской ""эрудиции "" С. Л. Франк в юбилейном 1937 г. сформулировал в специальной статье ""задачи познания Пушкина "", не совпадающие с задачами пушкиноведения, и мотивировал эти задачи так: ""задуматься и оглянуться, чтобы "" из-за деревьев не потерять леса ""."	леса	1
24	леса	Под пологом колхидского леса, на его опушках и лесных прогалинах немало различных кустарников, как, например, лещина обыкновенная.	леса	1
25	леса	Из леса я вышел окрыленный психическим здоровьем нации и надеждами на следующие выходные.	леса	1
26	леса	Конечно, если сравнивать с рубкой леса...	леса	1
27	леса	От хутора, мимо фермы, напрямую до самого займищного леса Яков продвигался вприскочку: пробежит – и пойдет потише, снова пробежит – и опять отдыхает на ходу.	леса	1
28	леса	С полей, от недалекого уже леса наплывали сумерки, сгущая и сужая пространство.	леса	1
29	леса	"Автор ""Повести временных лет "" XI века именно так и описывает географические пределы Руси, начиная с водораздела – ""Оковского леса "", и по направлению рек, берущих там свое начало: какие реки текут в какое море."	леса	1
30	леса	Я повернул за угол и пошел в сторону леса, еще не видного за домами.	леса	1
31	леса	Я закрываю глаза и вижу стеклянное здание леса.	леса	1
32	леса	Когда речь заходила о Сукачеве, говорили прежде всего о том, как он выступал в защиту леса, против хищнических лесозаготовок в те годы, когда подобные мнения считались вредными и были опасны.	леса	1
33	леса	Автор не жил, не привелось, в осыпающихся траншеях, полных воды, не хоронил друзей на опушке осеннего леса...	леса	1
34	леса	Местечковцы охотились давно, и обитатели леса, в общем, неплохо научились спасаться от их охоты.	леса	1
35	леса	Стоял на краю леса домишко-то Булыгин.	леса	1
36	леса	До этого были холмы, река, просторный горизонт с неровной кромкой леса.	леса	1
37	леса	"Уже в раннем рассказе "" Рубка леса ""выявился принцип, который остался характерным для Толстого на всем протяжении его творчества:"	леса	1
38	леса	О пьяном не стоило бы уже и говорить, как о надоевших пеньках, по-заячьи скакавших через вырубленные участки пришоссейного леса.	леса	1
39	леса	Огляделся – и не узнал леса, окружавшего меня.	леса	1
