Index	Homograph	Context	TargetWord	Label
1	горы	Я нашел себе флэш-игру про альпиниста который должен добраться до вершины горы...	горы	1
2	горы	До нашей эпохи должны были дожить лишь первичные черные дыры массой более 10 15 г (масса средней горы на Земле) из-за действия механизма квантового испарения черных дыр, предложенного С. Хоукингом.	горы	1
3	горы	Но нет, вот уже небесные купания остались позади, и день Яна-Ивана Купала с гармонью, под песни, как колесо, покатился с горы...	горы	1
4	горы	Камень, брошенный мальчиком со склона горы в горизонтальном направлении, упал у основания склона.	горы	1
5	горы	Произошло это в окрестностях горы Акона в Понтийском царстве.	горы	1
6	горы	Не то чтобы к вершине горы, но к ее подножию.	горы	1
7	горы	На крутом склоне горы в конце улицы с незапамятных времен высился огромный круглый камень.	горы	1
8	горы	"Существует легенда, что Ноев ковчег вынесло на вершину этой горы, и когда вода всемирного потопа стала отступать, голубь принес ветку оливкового дерева и вдали показалась суша, Ной вскрикнул: ""Еревац! "" – что в переводе с армянского означает: ""Виднеется, показалась земля!"	горы	1
9	горы	Натопили печь, напекли картошки, женщины приготовили гуся с яблоками, во дворе мы нарядили огромную красавицу елку и стали пускать фейерверки, а на следующее утро катались на санках с горы.	горы	1
10	горы	Карабах, Карабах – вся страна была взбудоражена этим круглым словом, катящимся, как камень с горы.	горы	1
11	горы	Внизу у подножья горы окруженная оградой небольшая, состоящая из 2-х комнат постройка, где помещался первый сектор Отдела по работе в обществе, он занимался сбором разведывательной информации в тылу Гоминьдана.	горы	1
12	горы	"На склоне горы высятся многоэтажные корпуса дома отдыха ""Голубая даль ""."	горы	1
13	горы	Наутро он ничего не помнил, писал с теплого крылечка, умывался из подвесного рукомойника, съедал на завтрак манную или геркулесовую кашу с ягодами, тискал кошку, потом ходил с ребятами и Сережкиной бабушкой на карьер, где бодрую, как и все дачницы, пожилую женщину обкусывали муравьи, а мальчики в это время катались с огромной песчаной горы, и прибегал домой голодный, возбужденный, с сыплющимся из волос песком.	горы	1
14	горы	Павел поставил один из ящиков на попа и постелил газету, которую вытащил откуда-то из горы этого самого хлама: оказывается, там был тайник, куда приходилось прятать от окрестных воров все мало-мальски ценное – несколько рюмок, солонку, нож без ручки; а газета, как предмет совсем уж бросовый, лежала в тайнике просто для комплекта.	горы	1
15	горы	И даже море, соленая вода, которую никому не надо таскать в ведрах из-под горы, создано было исключительно для радости плавания и ныряния.	горы	1
16	горы	Из них наиболее теплыми являются средние части пологих юго-западных склонов холмовых массивов, например: приморский склон горы Большой Ахун, отдельные участки в Адлере, Уч-Дере, Лоо, Хобзе.	горы	1
17	горы	Это начало Галереи Григоряна, названной так в память о нашем товарище, ялтинском спелеологе, погибшем зимою 87-го года в лавине во время проведения спасработ на склонах горы Ай-Петри.	горы	1
18	горы	И в санках с горы – ух!	горы	1
19	горы	Он пребывал как бы рядом, но наверху, на своей вершине, а они орали у подножья горы.	горы	1
