Index	Homograph	Context	TargetWord	Label
1	сестры	У сестры был договор, это как выяснилось совсем плохо	сестры	1
2	сестры	Конечно, тот факт, что он рос без отца и что мать, бежав с любовником, оставила его на попечение своей сестры Мэри Элизабет, известной всем битломанам как тетя Мими, а потом погибла под колесами автомобиля, когда Джону было 16, не прибавил оптимизма и легкости характеру Леннона.	сестры	1
3	сестры	"4 апреля этого года к его музейным экспонатам добавились две небольшие коллекции фотографий из архива Марины Тарковской, сестры кинематографиста, и фондов ""Мосфильма ""."	сестры	1
4	сестры	Злые языки утверждают, что Георгий Александрович так и не обзавелся семьей из-за сестры.	сестры	1
5	сестры	Так он защищал честь сестры.	сестры	1
6	сестры	Об этом обычно спрашивал муж маминой сестры.	сестры	1
7	сестры	Она снова взялась одаривать на балах Дантеса смущенными улыбками и кокетливыми взглядами, не обращая внимания на другие взгляды – ревнивые и угрюмые – своей сестры.	сестры	1
8	сестры	"Всюду мелькали люди, кто в диковинных костюмах, кто – в цивильном, с Гошей немедленно кто-нибудь заговаривал, какая-то рыжая девушка в костюме сестры милосердия бросилась к нему с криком: ""Боже мой, ты жив! "" – и тут же расхохоталась и убежала."	сестры	1
9	сестры	На всякий житейский случай у кандидата наук была припасена история, казавшаяся Колюне необыкновенно оригинальной и глубокой: когда у старшей сестры подоспело время выпускного вечера и все в доме переживали, хлопотали и обсуждали ее праздничное платье, дядюшка невозмутимо и весело рассказывал про выпускной бал в Сорбонне, где каждому участнику мужеского и женского пола выдавалось по кусочку материи размером с обыкновенный лист бумаги, из которого только и дозволялось торжественный костюм скроить.	сестры	1
10	сестры	А пока она в этой позиции разъясняла, кто чего стоит, кто чего хочет и кто что получит в итоге, брат ее Валентин мирно стоял у водительской, у моей то есть, дверцы, склонив голову набок и прислушиваясь к визгливым воплям своей бешеной сестры с явным интересом, – хотя в том, что она говорила, ничего нового не было.	сестры	1
11	сестры	Съехалась родня, почти одни только женщины: мать, две сестры, несколько старух в разной степени родства, от золовки до кумы.	сестры	1
12	сестры	Всегда была заметна некоторая резкость черт у сестры, излишняя мягкость – у брата.	сестры	1
13	сестры	И уже после этого прах будет перевезен и захоронен на Волковском кладбище, рядом с могилами Ульяновых – там, где, по свидетельству сестры Ленина Марии Ульяновой, он сам надеялся найти последнее упокоение.	сестры	1
14	сестры	Где-то есть мать, доживающая свои сухие годки в другом городе, у его сестры.	сестры	1
15	сестры	"Двоюродная тетка поохала и погрузилась в молчание, прерванное вопросом троюродной сестры Синицына, школьницы с косичками: ""А на похороны меня отпустят? "" Тетка вышла из оцепенения и ответила бранчливо: ""Если двоек не будет ""."	сестры	1
16	сестры	Но больше всего из поездки в Белоруссию мне запомнился яблоневый сад и дом бабушкиной сестры Станиславы, бабушки Стаси.	сестры	1
17	сестры	Для своей младшей сестры он сделал целый кукольный театр, и мама и бабушка тоже обязаны были сидеть как зрители.	сестры	1
18	сестры	Она росла в семье, где было кроме нее две сестры, обе старше.	сестры	1
19	сестры	Получали хористы два красноармейских пайка, что равнялось фронтовому пайку, на него могли существовать и мать и две сестры.	сестры	1
20	сестры	Назавтра, придя в больницу, я узнала от сдававшей дежурство сестры, что больная Быкова ночью умерла.	сестры	1
21	сестры	"В единственный приезд в Харьков тетки, племяннику было тогда 11 лет, он помнит, что старшая сестра относилась к его матери чуть покровительственно и несколько иронически, как бы и через много лет не уверовав в то, что у сестры ее, нате вот, – ""путевая жизнь "" и даже есть муж и сын..."	сестры	1
22	сестры	Да, это – самое раннее воспоминание, потому что нет еще рядом сестры Вари (при каштане она присутствовала).	сестры	1
23	сестры	Меня проводили в комнату сестры-хозяйки.	сестры	1
24	сестры	Выманил тетю Полю: она после смерти сестры приходила чаще, навещала по-родственному, помогала бабе Ниле и как-то тихо, спроста заняла место на диване, где прежде спала мать.	сестры	1
25	сестры	Отец моего дедушки давно умер, обе его сестры тоже умерли.	сестры	1
26	сестры	Тут подбежал Петро, бережно взял с рук сестры Егора и понес к самосвалу.	сестры	1
27	сестры	У моей двоюродной сестры умер маленький сынок.	сестры	1
28	сестры	Вообще она была какая-то сонная девушка и, хотя на вид, пожалуй, была привлекательней своей младшей сестры со своими тяжелыми нежными веками, чистым лицом и яркими губами, все-таки чувствовалось, что ребят привлекает именно младшая.	сестры	1
29	сестры	Две старших сестры разобрали на себя всю красоту, и Кларе не осталось ни красивости, ни даже миловидности.	сестры	1
30	сестры	Как три сестры: в Москву да в Москву.	сестры	1
31	сестры	Но я сразу же узнал останки родной сестры своей корчаги.	сестры	1
32	сестры	Прописан я у сестры, но у нее пьющий и курящий муж и двое детей, комната двенадцать с половиной метров, но проходная, один человек буквально живет на другом, без всякого разделения.	сестры	1
33	сестры	Шесть сыновей моей сестры погибли в Галиции, в Восточной Пруссии, мой брат, старый, больной человек, был убит в бою, – но им история не зачла этого...	сестры	1
