Index	Homograph	Context	TargetWord	Label
1	моря	Поездной диспетчер может в реальном времени контролировать и переадресовывать грузопоток на территории от Балтийского моря до Японского	моря	1
2	моря	Сегодня мы подробно обсудили ход работы над проектом Конвенции о правовом статусе Каспийского моря, определили проблемы, которые пока остаются несогласованными, и договорились о том, как двигаться дальше.	моря	1
3	моря	А еще мы можем перенести в компьютер наши фотографии – ну те, хорошие, с моря, и отправить их тете Вере в Австралию.	моря	1
4	моря	Теперь с берегов Балтийского моря слышны утверждения, что это положение вроде бы носит формальный характер, ни к чему не обязывает и вообще не касается Латвии и Эстонии.	моря	1
5	моря	100 минералов, солей и микроэлементов из таинственных глубин Мертвого моря, необходимых для того, чтобы Ваша кожа не утратила сияния молодости!	моря	1
6	моря	Важное стимулирующее значение с точки зрения развития экономических связей между нашими странами имело одновременное вступление в силу договоров о российско-украинской государственной границе и о сотрудничестве в использовании Азовского моря и Керченского пролива.	моря	1
7	моря	Представь, что лежишь на берегу моря где-нибудь в самом теплом и приятном месте на земле.	моря	1
8	моря	Так мы сотрудничаем, например, с Финляндией, предотвращаем загрязнение Балтийского моря в районе Санкт-Петербурга.	моря	1
9	моря	Излучающая антенна телецентра поднята на высоту H = 150 м над уровнем моря, а приемная антенна телевизора – на высоту h = 40 м над уровнем моря.	моря	1
10	моря	Работники моря возмущены тем, что, кроме собственно введения разорительных аукционов, правительство ежегодно проводит их в предновогодние дни – 27-29 декабря.	моря	1
11	моря	Температура воды в том районе моря плюс два градуса, – подчеркнул оперативный дежурный ГМСКЦ.	моря	1
12	моря	"Скромных по строению, но не по значимости для жизни на Земле, где они выступают создателями ""лесов моря ""."	моря	1
13	моря	А всего легче привыкает к эдему, если судьба привела его подышать райским воздухом южного моря, гор, сосен, вековой тишины и старины.	моря	1
14	моря	На римской географической карте III в. н. э., известной в исторической литературе как «Певтингеровы таблицы», венеды-сарматы обозначены южнее Балтийского моря и севернее Карпат.	моря	1
15	моря	Если для расчетов координат на плоскости необходимы сигналы минимум трех спутников, то для получения дополнительной информации о высоте над уровнем моря – четырех.	моря	1
16	моря	"И даже самый вездеходистый джип ему ""гражданину моря "", неинтересен."	моря	1
17	моря	"Однако вода в озере не убывает: оно подпитывается из громадного подземного ""моря "", лежащего под Сахарой."	моря	1
18	моря	Размещение в уютной гостинице, совсем недалеко от песчаного берега Черного моря – с прекрасным видом из окна.	моря	1
19	моря	Например, в истории Земли наиболее заметны активизация тектоно-магматических процессов и колебания уровня моря с периодичностью порядка 40-50 млн. лет.	моря	1
20	моря	Вертолет заходил с моря на посадку, и молодой господин в очках с рыжими стеклами и легким чемоданчиком из рыжей кожи, прокричал мне на ухо, жмурясь от солнца:	моря	1
21	моря	Кроме того, на отвоеванной у моря земле, кажется, и климат рукотворный.	моря	1
22	моря	В понедельник в Петербурге открылась XI парламентская конференция Балтийского моря.	моря	1
23	моря	В этом голосе – шум моря, крик, ножевая рана – все.	моря	1
