Index	Homograph	Context	TargetWord	Label
1	головы	А со стороны головы макушки бедность – это для тех, кому запах не понравился.	головы	1
2	головы	А другой головы не поднимает, потому что его убило.	головы	1
3	головы	"Если такое мнение о месте ""головы Медузы "" в системе семейства Cactaceae утвердится, это будет означать полный переворот в давно установившихся представлениях о старых добрых астрофитумах."	головы	1
4	головы	Посудите сами, если Чарли не ангел, откуда у него эта воробьиная походка, птичьи повороты головы, голубиное кокетство.	головы	1
5	головы	Название самого стихотворения выветрилось у меня из головы.	головы	1
6	головы	В то же время число домохозяйств, имеющих 2-3 головы крупного рогатого скота, выросло с 34, 4 до 68, 6 %. то есть почти в два раза.	головы	1
7	головы	Одна девушка снимала платки с головы невесты и медленно начинала расплетать косу.	головы	1
8	головы	На ночь вотри очень теплое льняное, оливковое, репейное или подсолнечное в кожу головы.	головы	1
9	головы	Когда перед зеркалом мальчик зажмурил левый глаз и, не меняя положения головы, пальцем, приложенным к зеркалу, закрыл его изображение, то был крайне удивлен тому, что, зажмурив правый глаз и открыв левый, увидел, что палец закрывает изображение не левого, а правого глаза.	головы	1
10	головы	Увитый с ног до головы толстыми коричневыми водорослями, вышел на берег, который-увы! -не обрадовал взор.	головы	1
11	головы	А вот человекообразные обезьяны предпочитают выражать свои чувства не взглядами, которые у них трудно поддаются истолкованию, а движениями головы, например, покачиваниями или кивками.	головы	1
12	головы	"Чтобы было понятно, о чем идет речь, напомним, что френологию, или учение о ""шишках головы "" придумал предшественник Фрейда Франц-Иосиф Галль (1758-1828), венский врач-невропатолог и достаточно крупный нейроанатом."	головы	1
13	головы	"Историк пытается найти причину, а следовательно, и некое оправдание выходке Разина, он подозревает, что ""злодейский поступок с княжной не был только бесполезным порывом пьяной головы ""; и предполагает, что ""Стенька, как видно (подчеркнуто авторами), завел у себя запорожский обычай считать непозволительным обращение казака с женщиной поступком, достойным смерти."	головы	1
14	головы	Глаза лежат по бокам головы.	головы	1
15	головы	Общее мнение большинства ее членов сводится к тому, что надо наводить порядок, но начинать его наводить нужно с тех, которые наверху, памятуя народную мудрость: рыба гниет с головы.	головы	1
16	головы	За неуправку Великий курфюрст приказал лишить головы Главного катапультмайстра, что и было исполнено в его, курфюрстовом присутствии.	головы	1
17	головы	"Мне оказалось не по силам постичь причудливое остроумие автора, равно как различить владельцев "" пулевидной ""головы и головы "" костистой "", которой к тому же "" присуще редкостное изящество "", и продираться через вымороченную стилистику Пика ("" Внутренность Горменгаста< замка > озлобленно легла перед ним с видом враждебной интимности... "") было мучительно."	головы	1
18	головы	Алеф, первая буква священного алфавита, переворачиваясь, превращается в рисунчатый знак головы быка, по другой версии – в образ человека, указывающего одной рукой в небо, а другой в землю.	головы	1
19	головы	Электрическую активность мозга в ходе исследований регистрировали через наложенные на поверхность головы электроды.	головы	1
20	головы	Мой тебе совет, выкинь это из головы, зачем Вову травмировать.	головы	1
21	головы	И все идет не «от головы», а от тех чувств, что вложил в фильм режиссер.	головы	1
22	головы	В годик он еще не держал головы.	головы	1
23	головы	Увидев незнакомцев, дед опустил вилы и снял с потной головы черный картуз.	головы	1
24	головы	Вонь при каждом повороте головы.	головы	1
25	головы	По слухам, именно эти три головы должны были полететь с плеч в следующем году, когда французский концерн примет на себя полное управление командой.	головы	1
26	головы	Причем то я, которое писало, ни разу не подняло головы и я не увидел у него своих глаз.	головы	1
27	головы	Тот послушно оторвался от работы и неуклюже спустился с высоты малярских козел – полуголый и мазанный с ног до головы побелкой, похожий на садово-паркового болвана из гипса.	головы	1
28	головы	А у нас пока что этого выше головы.	головы	1
29	головы	Через пять минут все это начисто вылетело у меня из головы.	головы	1
30	головы	Что-то хотел Колюнчик понять, как хотел постичь устройство клетки или ядра, и никогда не проходил мимо странных и красивых зданий с куполами и крестами, не повернув головы и не задумавшись.	головы	1
31	головы	Так что выкинь из головы.	головы	1
32	головы	Из этого еще не следует, однако, что фальсификаторы XVII в. могли бы такие слова и формы и такие имена просто выдумать из головы: их реальность подтверждается современным сравнительным языкознанием, учитывающим данные всех древних и новых славянских языков и диалектов.)	головы	1
33	головы	Поверх головы министра здравоохранения...	головы	1
34	головы	Степан, глядя поверх головы хозяина, что при его высоком росте было нетрудно, заученно проговорил:	головы	1
35	головы	Хотя волосы и созданы природой в первую очередь для защиты кожи головы от холода, пыли, жгучих солнечных лучей, им самим также необходимы уход и защита.	головы	1
36	головы	"Периодически жалуется на головную боль, носит шапки и панамки большего размера, чем сверстники (окружность головы годовалого ребенка в норме – 46 см, в 2 года – 48 см, в 3-4 года – 49 см, в 5 лет – 50 см, в 10 лет-51 см, а затем она увеличивается примерно на 1 см в год до ""взрослой "" величины – 55-58 см)."	головы	1
37	головы	Пространственная геометрия женских форм осязается на расстоянии, кровь шумно отливает от головы, устремляясь вниз, к ногам, а затем некий насос подает ее вверх, нарушая ритм сердечных сокращений.	головы	1
38	головы	"""А вы по какому вопросу, товарищ? "" – задала вопрос, даже поворотом головы не обозначив ""товарища "", а лишь слегка изменив тон, каким говорила со студентами."	головы	1
39	головы	Нам хоть какую, – продолжала кричать Шура-Шашка, – хоть без головы, хоть без рук!	головы	1
40	головы	"Или работали номер ""Поджигатель войны "" (либретто иллюзионного трюка сочинил Смирнов-Сокольский), когда из головы американца ""дяди Сэма "" высыпались пузатые богачи – поджигатели войны, полуголые девки и прочие..."	головы	1
41	головы	Еще бы метра три нижей – и такой умной головы как не бывало!	головы	1
42	головы	Вот решающий рывок – и я отфыркиваюсь на той стороне, волоча за собою каску, сорвавшуюся с головы в сифоне.	головы	1
43	головы	После ночи, проведенной на жестком диване под взглядом античной головы, он просыпался невыспавшимся, раздраженным, вяло шел в кухню, слышал плеск воды за дверью ванной – дочка торопилась в школу, варил себе кофе, делал бутерброд для Мариши, вспоминал, какие у него сегодня лекции, во сколько назначено заседание кафедры, и постепенно налаженное благополучие возвращалось.	головы	1
44	головы	Прошло несколько долгих секунд, и над водой показался черный мячик головы.	головы	1
45	головы	Бывает, одна и та же интересная мысль приходит в две головы одновременно и возникает совместное произведение искусства.	головы	1
46	головы	Черное, тяжелое, ничего не умеет делать, не умеет даже дышать, нет даже печени, крови, ни головы, ни рук – стоит на одном месте.	головы	1
47	головы	Казалось, после того, как я его поставил на ноги, алкоголь отхлынул от головы, стекает обратно в желудок.	головы	1
48	головы	Каждому он знал цену; любил же тихих любителей, похожих на знатоков певчих птиц, – особенный наклон головы, будто к уху приставлена ладонь.	головы	1
49	головы	Взяла в горсть пук волос, без усилия отделила его от головы и отбросила.	головы	1
50	головы	Не обедал с другом у костра, когда, опустившись к костру прикурить, поднимаясь, обнаруживаешь, что друг твой сидит с ложкой в руке, но без головы, снесена вчистую невесть откуда прилетевшим осколком металла, валяется в кустах голова; но... при звуках холодного, хрипловатого голоса Клавдии Шульженко, странно-отдаленного, откуда-то из сердца распространяется по телу нервная сыпь.	головы	1
51	головы	Не опуская головы, пригнулся.	головы	1
52	головы	Вы едете и езжайте, – сказал он, не поднимая головы, – а у нас и в Калуге дел по горло.	головы	1
53	головы	И окатил Чеботарева с ног до головы...	головы	1
54	головы	А у меня дел на сегодня выше головы.	головы	1
55	головы	Я лежал, все еще тая в себе накопленную старательным лежанием неподвижность внутри и пустоту головы, и наблюдал один общеизвестный феномен – пылинки в солнечном луче.	головы	1
56	головы	Из головы никак не выходила осина, скрипящая без ветра.	головы	1
57	головы	Зачем всегда, – миролюбиво ответил проводник, не поднимая головы и продолжая платком счищать пятна с брюк, – когда хочется...	головы	1
58	головы	"Разве Айвенго или, допустим, герои... "" Всадника без головы ""не были драчунами? – вопросом ответила бабушка. – Они, насколько мне помнится, оставались без головы, потому что дрались за честь."	головы	1
59	головы	Они оба – он и Зыбин – с белыми литровыми жестянками из-под компота стояли над горным ледяным потоком (это и была речка Алмаатинка) и окатывались с головы до ног.	головы	1
60	головы	Они вымокли с ног до головы, обломали ногти, зашиблись, наконец, все-таки вывернули ее.	головы	1
61	головы	А потом так надрался с рабочими, что его два дня рвало желчью и он не мог головы оторвать от подушки – все кружится, все болит, ничего не хочется и на все наплевать.	головы	1
62	головы	Мать-то была совсем рыжая. «Вид волос прямой (грамотен – сразу видно, что тут уже работал канцелярист), без пробора, глаза темно-карие, склад головы обыкновенный, лоб прямой, невысокий, нос прямой, длинный, лицо длинное, смуглое, покрытое рябинками от оспы».	головы	1
63	головы	Передняя часть головы – ярко-красного цвета, темя и затылок – черные, щеки – белые, крылья – желтоватые, с черными и белыми крапинками по заднему краю, клюв – красновато-беловатого цвета, с черным концом, у основания которого, по обеим сторонам, черные усики; хвост – черный, с белыми пятнами на конце, грудь и брюшко – с красновато-буроватым оттенком, надхвостье – белое, лапки – желтовато-бурые.	головы	1
64	головы	"Есть и понимание своих усилий: она старается быть ""просто доброй бабой "", и чтобы он отдыхал здесь от суеты и тщеты, и чтобы не мучился своей, скажем, судьбой, или женой, или чем там еще мучаются мужчины, не понимающие простой истины, что выше головы не прыгнешь и что в конце концов игра с жизнью, как и игра с женщиной, идет не на обман и не на итог, – мужчины этого знать не желают, но пусть хотя бы, бедняги, почувствуют."	головы	1
65	головы	Дистанционное управление справа от вашей бесценнейшей головы.	головы	1
66	головы	Маркса он выкинул из головы с тех пор, как сдал последний зачет по марксизму, а это было давно.	головы	1
67	головы	Лифтер в его подъезде, сумрачный, с вислыми щеками очкарик, первый поздоровался с Шулепой кивком головы и даже как-то чуть дернулся за своим большим столом, на котором стоял телефон, а Шулепа прошел мимо, не обратив внимания.	головы	1
68	головы	Они не без любопытства осмотрели друг друга с ног до головы.	головы	1
69	головы	Не подумайте, что я хоть на йоту примирился с судьбой отца, я делал все для его спасения, но я жил в реальном мире, работал на производстве, на мне фактически была семья, мысль об отце не выходила у меня из головы, но в голове находилось место и для других мыслей, иначе нельзя жить и работать.	головы	1
70	головы	За это равнодушие и увенчалась она совершенным торжеством: всякий раз, когда ветер вздувал ее очень ненарядные перья, господин котенок, вероятно полагая, что она намерена проучить его за нахальство, обращался в постыдное бегство; но великодушная курица столь же мало примечала побед своих, сколь пренебрегала своим трусливым и вместе дерзким неприятелем; она и не взглядывала на него, не оборачивала и головы к нему, она была занята гораздо важнейшим: зернышки для нее были тем же, что для Архимеда математические выкладки, за которыми убил его римский воин.	головы	1
71	головы	У индюков аналогичную функцию выполняют мясистый вырост, свешивающийся со лба, и не покрытые перьями части головы.	головы	1
72	головы	"В ней рассказывается также о ""Всаднике без головы """	головы	1
73	головы	И все же думается мне, что лучшее и наиболее характерное для писателя – это книги о простых американцах, борющихся в жесточайших условиях капиталистического общества за свое место в жизни, побеждающих все и всяческие преграды, книги о людях с твердой волей, сильным характером, не склоняющих головы в самых трудных обстоятельствах.	головы	1
74	головы	Иван поморщился, не поднимая головы.	головы	1
75	головы	Но Заяц прошел, даже головы не повернул.	головы	1
76	головы	Сквозь надвигавшуюся дремоту он видел крыльцо деревянного дома, Ксению Федоровну, стоявшую на самой верхней ступеньке крыльца и вытиравшую руки мятым вафельным полотенцем, и ее медленный взгляд прямо в глаза Дмитриеву, мимо русой головы, мимо ярко-голубого шелкового платья, и услышал глухой голос:	головы	1
77	головы	Первый кочегар, не подымая головы, продолжал возиться со своими бутылками, и глазомер его был настолько зыбок, что ему стоило немалых трудов свести обе бутылки головками.	головы	1
78	головы	Отчетливо обведенный огнем силуэт головы.	головы	1
79	головы	Когда же я по русскому письменному писал прямо из головы, не пользуясь учебниками и шпаргалками, это тем более служило доказательством моей неисправимой лени.	головы	1
80	головы	Валентуля, не поднимая головы от схемы, ответил, энергично отрубливая фразы:	головы	1
81	головы	Толстые белые косы ее были обведены величественным венцом вкруг головы.	головы	1
82	головы	Он прошел табачную плантацию, скотный двор Большого Дома, стараясь быть не замеченным детьми, игравшими во дворе, и стараясь сам их не замечать, хотя промельк рыжей головы и заметил, переступил через перелаз и по тропинке дошел до ворот двора тети Маши.	головы	1
83	головы	Это город, что называется, с головы до пят; на его улицах, в порту среди докеров, в кварталах Ву-ла-Мулла мы чувствовали себя свободно, мы подпевали его песенкам, смеялись шуткам.	головы	1
84	головы	Можно, – отвечает дед, не подымая головы, – да только кто так стоит, тот лентяй, а зачем ему нанимать лентяев?	головы	1
85	головы	Я думаю, будь на то его воля, он всем этим чересчур воинственным политикам и горлодерам замазал бы рты, уши и глаза, да и вообще закрасил бы их с ног до головы, чтобы стояли они, немые, глухие и слепые, как гипсовые статуи в парках.	головы	1
86	головы	Татарин, по-собачьи оскалясь, выдирает ее из головы вместе с волосами.	головы	1
87	головы	"Последнее-то слово – ""конструктор "", а вот первое имя – короткое, а все из головы вылетает."	головы	1
88	головы	Я думал о том, что добился своего, что новый мой щит разрушен, но результат оказался печальным – из головы у меня не выходила Таня.	головы	1
89	головы	Всей кожей головы я чувствовала, что острижена коротко, уродливо, неприлично.	головы	1
90	головы	Один поворот головы – и фантом исчез.	головы	1
91	головы	Все одно – выше головы не прыгнешь, умней отца-матери не будешь.	головы	1
92	головы	Платок сполз с ее головы.	головы	1
93	головы	Потом Шухов снял шапку с бритой головы – как ни холодно, но не мог он себя допустить есть в шапке – и, взмучивая отстоявшуюся баланду, быстро проверил, что там попало в миску.	головы	1
94	головы	Эта нога не выходит из головы!	головы	1
95	головы	Чуйков, почувствовав взгляд начальника штаба, улыбнулся ему и сказал, обведя рукой широкий круг повыше головы:	головы	1
96	головы	Новое, казалось, возникло не из опыта, а из головы Штрума.	головы	1
97	головы	Солдат полз торопливо, по-собачьи перебирая руками и ногами, не поднимая головы, точно чутьем вынюхивая след.	головы	1
98	головы	А ты, Малинин, своей головы на плечах не имеешь? – закричала Кузякина.	головы	1
99	головы	В эшелоне нет еще лагерной привычки, нет усталости, нет задуренной лагерной заботой головы; для окровавленного сердца все непривычно, все ужасно: полусвет, скрип, шершавые доски, истеричные, дергающиеся воры, кварцевый взор конвойных.	головы	1
100	головы	Подожди-ка, я с ним сам поговорю, – подошел ко мне и поставил приклад винтовки около моей головы.	головы	1
101	головы	Что? – спросил я, не поднимая головы от книги.	головы	1
102	головы	Она удивленно оглядела его с ног до головы.	головы	1
103	головы	А девочка тоже ползла по болоту, не поднимая вверх высоко головы.	головы	1
104	головы	Он с ног до головы запорошен снегом.	головы	1
105	головы	Мать несколько раз пыталась с ним заговорить, но на вопросы ее он отвечал односложно, а то и совсем не отвечал, ограничиваясь кивком головы; если же приходилось все-таки говорить, то он болезненно морщился, цедил слова сквозь зубы, да притом еще так, что и разобрать-то можно было не все.	головы	1
106	головы	Что я, совсем без головы, что ли?	головы	1
107	головы	Слушайте, дорогой, – сказал Гарднер любезно, оглядывая его с ног до головы, – что, собственно говоря, у вас тут делается?	головы	1
108	головы	Разве уже вылетело у меня из головы некое письмо, написанное им пятнадцать лет назад, где он уже не вопросы задавал, как сейчас, а просто и уверенно ставил крест на всей цивилизации и говорил, что самое главное и самое важное сейчас – это пронести через этот страшный мир свое бедное человеческое сознание?	головы	1
109	головы	Когда откинула с головы на широкие плечи вязаный платок, лейтенант даже застонал про себя: поцеловать бы эти теплые светлые волосы!	головы	1
110	головы	Дети видели здесь дерзновенное новшество, разрушающее ненавистную им рутину общепринятого мытья головы, и с упоением глядели в окно, словно там совершалось веселое чудо.	головы	1
111	головы	Я делал ее механически, так, чтобы она не задевала головы.	головы	1
112	головы	Александр Сергеевич, – сказал Кипренский, не подымая головы, – я хотел бы унести твой голос с собой в могилу.	головы	1
113	головы	Потом, отчасти сам любопытствуя, спросил, не оборачивая головы:	головы	1
