Index	Homograph	Context	TargetWord	Label
1	руки	– кричала бабушка, воинственно потрясая рефлектором и хлопая ладонью другой руки по дымящейся юбке.	руки	1
2	руки	Протянул доктор Ватсон обе руки к фотороботу и предложил Шерлоку Холмсу махнуться.	руки	1
3	руки	Графики движения поездов вычерчивались диспетчером от руки и служили отчетом о проделанной им за сутки работе.	руки	1
4	руки	Убираем трафарет и, глядя на него, уже от руки дорисовываем недостающие части, которые были закрыты на трафарете перегородками для сохранения узора (фото 4).	руки	1
5	руки	Утром 13 декабря с порезом предплечья руки в медицинское учреждение обратилась 19-летняя студентка одного из вузов Саранска.	руки	1
6	руки	Затем одну руку заведи за голову, захвати локоть другой руки и осторожно потяни.	руки	1
7	руки	Твой друг медлит с предложением руки и сердца или муж давно не дарил букет цветов?	руки	1
8	руки	2. 19. Почему механические наручные часы рекомендуется заводить утром, а не вечером, когда снимают их с руки?	руки	1
9	руки	Кто в это время занимал посты средней руки на госслужбе, в том числе и в силовых структурах.	руки	1
10	руки	"И, если когда-нибудь возможен для русских людей ""гражданский мир "", взаимное ""пожатие руки "", нравится это кому или не нравится – пойдет это, мне кажется, по цветаевской линии ""."	руки	1
11	руки	Для сравнения: в конце марта у дилера средней руки екатеринбургские оперативники изъяли 4 кг героина, стоимость которого на черном рынке более 3 млн рублей.	руки	1
12	руки	Он держался за живот, из-под руки бежала кровь…	руки	1
13	руки	Илларионову не с руки, и он строит турусы на колесах.	руки	1
14	руки	Несколькими взмахами могучей руки Винифред срубил священный дуб.	руки	1
15	руки	По его словам, брат Асеева погиб от руки купца Пчельникова.	руки	1
16	руки	Их функция состоит в регуляции исполнительных действий строящимся сенсомоторным образом и в нахождении масштабного соответствия между отдельными перемещениями руки с положением курсора, отображенным с задержкой на экране монитора.	руки	1
17	руки	Заманчива сама цель этой бригады разработчиков-получить протез кисти руки, управляемый силой воли.	руки	1
18	руки	Современники считали его черным магом, умеющим демонстрировать поразительные чудеса – превращать белое вино в красное, ломать каменную трость легким ударом руки, менять цвет надписи на бумаге, слегка послюнив кончик пера.	руки	1
19	руки	А виден он становится, только когда эти часы снимаешь с руки и будто бы ненароком кладешь на стол или прикроватный столик так, чтобы он (она? они?) полюбовались удивительным и завораживающим вращением мириадов шестеренок.	руки	1
20	руки	Учитель испуганно взглянул из-под руки – под ногами у толкальщиков лицом вниз лежал молотобоец, из его рта сползала струйка крови.	руки	1
21	руки	Там перед входом и на фасаде конторы были наклеены объявления, написанные от руки чернилами:	руки	1
22	руки	Легким движением руки	руки	1
23	руки	Не могу сказать, с чьей «нелегкой» руки (еще до нынешней администрации) это повелось, но в департаменте экономики почему-то посчитали, что, выстроив дом и продав в нем площади, строители имеют 20-процентную рентабельность.	руки	1
24	руки	Именно с ее легкой руки выдаются лицензии на вещание телеканалам и радиостанциям.	руки	1
25	руки	Ее продюсерская деятельность началась с нашей легкой руки.	руки	1
26	руки	Он прижимал к сердцу обе руки и таращил глаза:	руки	1
27	руки	А в распоряжении созидателей всего-то две руки, лопата и горсть сухих семян...	руки	1
28	руки	В этой модели особую роль играет накладка на внутренней стороне ладони, которая препятствует скольжению руки по штурвалу во время маневров.	руки	1
29	руки	Почему-то некоторые руководствуются старым правилом, существовавшим еще до появления карвинговых лыж: нужно покупать ту пару, которая доходит до кисти поднятой над головой руки.	руки	1
30	руки	Нужно было позвонить некоему средней руки руководителю и попросить дать прямо по телефону буквально минутный – на десять-пятнадцать строк – комментарий к нашумевшему событию.	руки	1
31	руки	"Однако внизу листа кто-то карандашом приписал от руки: ""Лазутина "" и ""Данилова ""."	руки	1
32	руки	Щиток для левой руки – важная деталь для безопасности.	руки	1
33	руки	В нынешнем спички из руки Владимира Познера тянули представители РТР и ОРТ.	руки	1
34	руки	В целях безопасности командир принял ближе к изгороди, взмахом руки предупредил о том остальных.	руки	1
35	руки	Сломал ему несколько ребер и кисть левой руки.	руки	1
36	руки	Ибо отвечать на него в этом месте мне не с руки.	руки	1
37	руки	"Но наиболее любознательные могут продолжить путешествие и отправиться вдоль ""руки Финляндии "" к границе с Норвегией, где находится Халти, самая высокая вершина страны."	руки	1
38	руки	Вот хоть эта штуковина, как может быть виновата передо мной и какая кара от моей руки-то постигнет?	руки	1
39	руки	Одним движением руки!	руки	1
40	руки	Конечно, без руки мастера Воротникова, без его приписок тут не обходилось, и в соревновании то Хомеляйнен обгонял Аржанова, то Аржанов Хомеляйнена.	руки	1
41	руки	И кстати, открытка напечатана, хотя обычно их пишут от руки.	руки	1
42	руки	И наконец, как-то надо везти покупки, даже если они не очень большие и тяжелые, ведь у человека только две руки.	руки	1
43	руки	Не особенно красивая, неприметная и молчаливая тетка Наталья котировалась, по Колюниным ощущениям, в соцветии сородичей несколько ниже, нежели прекрасная Людмила, и связано это было не только с тем, что к женитьбе своего среднего сына бабушка руки не прикладывала и даже не была приглашена на лесную свадьбу.	руки	1
44	руки	Поэтому я только засмеялся и поднял обе руки жестом безоговорочно сдающегося.	руки	1
45	руки	А смотрите-ка, не так плохо получилось: за двести с лишним лет ни один лингвист не заметил никакой ни палеографической, ни орфографической, ни грамматической, ни стилистической фальши – не догадались даже о том, что это вышло из-под руки иностранца!	руки	1
46	руки	Гравюрный портрет Авдея Федоровича руки неизвестного, но явно немецкой выучки художника, хранимый и по сей день потомками Павла Алексеевича, свидетельствует о силе этой крови, проводящей вдоль времени семейные черты.	руки	1
47	руки	К тому же подыграть накануне назначенных на 17 мая выборов в кнессет Нетаньяху и израильским правым ему было явно не с руки.	руки	1
48	руки	Не скинешь с руки.	руки	1
49	руки	"""Я на правую руку надела перчатку с левой руки "", – писала молодая Анна Ахматова."	руки	1
