Index	Homograph	Context	TargetWord	Label
1	белка	К охотничье-промысловым видам относятся: изюбр, лось, кабарга, косуля, кабан, дикий северный олень, белка, соболь, барсук, рысь, ондатра, росомаха, медведь, водоплавающая дичь, боровая дичь.	белка	бе+лка
2	белка	Утром в школе, после обеда в универе (химия и математика), потом тренировки (футбол), как белка в колесе всю неделю.	белка	бе+лка
3	белка	"Мама и малыш так просто и органично составили одно целое, а ему, добытчику и главе семейства, теперь приходится самому готовить себе ужин, а на закуску выслушивать попреки: ""Я тут кручусь, как белка в колесе, а ты... "", или умильное сюсюканье: ""А вот мы как хорошо пописали-покакали..."	белка	бе+лка
4	белка	Что это ты делаешь, Заяц? -спросила Белка.	Белка	бе+лка
5	белка	И Белка поплыла рядом.	Белка	бе+лка
6	белка	Не толкайся, -шепнула Белка.	Белка	бе+лка
7	белка	Белка поймалась на гриб.	Белка	бе+лка
8	белка	Здорово! -сказала Белка, когда сели на крыльце пить чай.	Белка	бе+лка
9	белка	Клиенту нужны атомные тайны русской мафии – будет вам и белка, будет и свисток, а равно атомный физик.	белка	бе+лка
10	белка	Белка бежала-бежала в своем колесе – и так целых пол дня, а потом вдруг провалилась вместе с колесом куда-то в тартарары...	Белка	бе+лка
11	белка	Пятнадцать процентов со сделки платят... с прибыли фирмы пятнадцать процентов... крутишься месяцами как белка в колесе... вот я и попросила.	белка	бе+лка
12	белка	Признаюсь, к своему стыду, что тогда я не могла взять в толк, почему все так безумно рады, что в космос полетели уже не Белка и Стрелка, а некий взрослый человек.	Белка	бе+лка
13	белка	На рябине, что росла у забора, неведомо откуда появилась белка.	белка	бе+лка
14	белка	Белка побежала по стволу и повисла на ветке, качнулась – перепрыгнула на забор.	Белка	бе+лка
15	белка	Белка спрыгнула на землю, и больше ее не было видно, но мне стало весело.	Белка	бе+лка
16	белка	На рябину тем временем вернулась белка.	белка	бе+лка
17	белка	Был конец октября, и белка вылиняла уже к зиме.	белка	бе+лка
18	белка	Не белка и не бурундук.	белка	бе+лка
19	белка	Еще не прилетели! – говорила Белка.	Белка	бе+лка
20	белка	"Белка сидела в дупле и знала, что это Ежик стоит под сосной, играет ""Грустного Комарика "" и называет ее Рыжим Солнышком..."	Белка	бе+лка
21	белка	А Ежик играл целый день до вечера и, когда уставал, кивал головой зайцам – и они потихонечку барабанили, чтобы Белка знала, что Ежик все еще стоит внизу и ждет, когда она выглянет.	Белка	бе+лка
22	белка	прячется в дупле Белка,	Белка	бе+лка
23	белка	Что это ты делаешь, Медвежонок? – спросила у него Белка.	Белка	бе+лка
24	белка	Ты разве дерево? – удивилась Белка.	Белка	бе+лка
25	белка	И потом, если ты не веришь, ты можешь побегать по мне, Белка, и увидишь, какое я хорошее дерево!	Белка	бе+лка
26	белка	А где твои птицы? – спросила Белка.	Белка	бе+лка
27	белка	Белка, – сказал он – найди для меня, пожалуйста, немного птиц.	Белка	бе+лка
28	белка	Это какая же птица согласится жить на Медвежонке? – спросила Белка.	Белка	бе+лка
29	белка	Попробую, – пообещала Белка.	Белка	бе+лка
30	белка	Медвежонок – позвала Белка.	Белка	бе+лка
31	белка	Белка больше всего любила орехи.	Белка	бе+лка
32	белка	Белка набрала их целую корзину и спрятала в дупле самой толстой морковки.	Белка	бе+лка
33	белка	Тогда бы я вышел на поляну, крикнул на весь лес, и Белка прибежала бы ко мне, а я бы ей сказал:	Белка	бе+лка
34	белка	Здравствуй, Белка!	Белка	бе+лка
35	белка	""" А Белка бы распушила свой хвост, помахала им в разные стороны и ответила: ""Здравствуй, Ежик!"	Белка	бе+лка
36	белка	"""Ты протаптывай по земле, – сказала бы Белка, – а я – поверху!"	Белка	бе+лка
37	белка	Принесла его Белка, подсунула под дверь и убежала.	Белка	бе+лка
38	белка	"""– "" Это Изюбрь! ""– скажет Белка."	Белка	бе+лка
39	белка	Дескать, будет вам и белка, будет и свисток.	белка	бе+лка
40	белка	Гопчик, как белка, легкий – по перекладинам взобрался, прибил гвоздь, проволоку накинул и под трубу подпустил.	белка	бе+лка
41	белка	Шухов кивнул и, как белка, быстро залез наверх.	белка	бе+лка
42	белка	"Материковская махорка, ярославская ""Белка "" или ""Кременчуг № 2 ""."	Белка	бе+лка
43	белка	Я даже до сих пор не успел обзавестись семьей: как белка в колесе.	белка	бе+лка
44	белка	Ванька, выскочив на мороз, сразу очнулся и, как белка, взобрался по лестнице на самый верх домны.	белка	бе+лка
45	белка	И по елкам ловко скачет, И влезает на дубы, И в дупле орешки прячет, Сушит на зиму грибы (белка)	белка	бе+лка
46	белка	Я стыдился собственной наготы, но понимал, что, если что-то сделаю не так, бабка хлестнет меня ивовым прутом по влажной спине, как конягу, и, конечно, еще и лопатой огребет, потому шмыгал туда и обратно, как белка в зоопарке.	белка	бе+лка
47	белка	Обычная белка.	белка	бе+лка
48	белка	Одни звонят в час ночи, другие в три, в четыре, в половине пятого и шестого… и только белка как положено, отмеряла время, пряча орешки в домик.	белка	бе+лка
49	белка	Потому что белка схватила свой последний орешек, повернулась и спряталась в домике.	белка	бе+лка
50	белка	Белка смешно, как маленький человечек, обеими лапками несет стланиковую шишку.	Белка	бе+лка
51	белка	Я и так как белка в колесе — всем приготовь, принеси, унеси.	белка	бе+лка
52	белка	У вашей сестры муж очень влиятельный, а то была бы Валентину Ивановичу… и белка, и свисток.	белка	бе+лка
53	белка	То есть «белка» была.	белка	бе+лка
54	белка	Кручусь, как белка, сразу в нескольких колесах!	белка	бе+лка
55	белка	Вокруг вас даже прыгала белка, пытаясь вас отвлечь.	белка	бе+лка
