Index	Homograph	Context	TargetWord	Label
1	овцы	Глядя сегодня на все те материальные блага, которые я так упорно создавала последние годы с упорством овцы из стада, охваченного единым заблуждением-психозом об абсолютности ценностей материального мира, я уже не понимаю, зачем потрачено столько времени и сил.	овцы	1
2	овцы	С него свешивается руно овцы, внутри же него помещается овечий жир, внутри него – зерно Бога полей и вино, внутри него – бык и овца, внутри него помещаются долгие годы жизни и потомства.	овцы	1
3	овцы	Ирина подчинялась с обреченностью овцы, но, даже занимаясь любовью, думала о том, где взять денег, что сварить на завтра, как сдать экзамен.	овцы	1
4	овцы	Кровь полилась, как из подрезанной овцы.	овцы	1
5	овцы	"В "" Комсомольце ""комплекс по переработке овцы, ты знаешь, за валюту купили."	овцы	1
6	овцы	Овцы осиной...	Овцы	1
7	овцы	Глянь, дядь, не видно овцы-то?	овцы	1
8	овцы	С паршивой овцы хоть шерсти клок.	овцы	1
9	овцы	Не было у нее ни коровы, ни овцы, ни стрижей под крышей.	овцы	1
10	овцы	Ну, сейчас будет увещевание пастырем заблудшей в гордыне овцы, – сказал Чернецов, и Мостовской с невольным сочувствием кивнул его словам.	овцы	1
11	овцы	Он взглянул снизу на ударившего его: в глазах немца, как в глазах умирающей овцы, не было ни упрека, ни даже страдания, одно лишь смирение.	овцы	1
12	овцы	Он был единственным сыном вдовы, и судили его за незаконный убой скота – единственной овцы, которую заколол Федя.	овцы	1
13	овцы	Наследство от Степанова, с паршивой овцы…	овцы	1
14	овцы	Низкорослые – чуть повыше овцы, покрытые лохматой жесткой шерстью, лошади с любопытством тянули к вагонам горбоносые морды, втягивали воздух крупными влажными ноздрями.	овцы	1
15	овцы	Слышна его основная нота, с которой все началось – что-то среднее между блеяньем овцы и женским кашлем.	овцы	1
16	овцы	Для того чтобы Долли появилась на свет, ученые взяли неоплодотворенную яйцеклетку от одной овцы и механически извлекли из нее ядро, в котором содержалась материнская генетическая информация.	овцы	1
17	овцы	Далее в такую энуклеированную (nucleus – это «ядро») яйцеклетку ввели ядро, взятое из клетки вымени другой овцы.	овцы	1
18	овцы	В результате возникла яйцеклетка с двойным набором генов – не потому, что половина генов принадлежала отцу, а половина – матери, а потому, что в клетке вымени овцы, у которой было взято ядро, содержался двойной набор генов.	овцы	1
19	овцы	Следовательно, ее генетические мама и папа – это родители этой овцы-донора.	овцы	1
20	овцы	А гены митохондрий она получила от третьего животного – той овцы, у которой взяли яйцеклетку, она – митохондриальная мама Долли.	овцы	1
21	овцы	А у овцы?	овцы	1
