Index	Homograph	Context	TargetWord	Label
1	холода	"И не только потому, что зиме в фильмах Чаплина вообще отведено очень небольшое (да и то, когда Чарли в шубе, как в ""Золотой лихорадке "") место: бездомный бродяга в куцем сюртучке и дырявых ботинках не может любить зимы, холода и снега, как бы не сверкал он под сполохами северного сияния."	холода	1
2	холода	А когда перед самым входом нам предложили сфотографироваться с довольно крупным мокрым хамелеоном или с маленькой поеживающейся от холода обезьянкой, наше мнение о том, что, пожалуй, правы те, кто говорит, что от зоопарка в его классическом понимании ничего не осталось, существенно укрепилось.	холода	1
3	холода	Да и просто для поддержания людей, чтобы они не умирали от голода и холода, от отсутствия витаминов, лекарств.	холода	1
4	холода	Они прекрасно развиваются в небольших емкостях, не боятся холода и предоставляют великолепные возможности для создания компактных композиций на ограниченной площади.	холода	1
5	холода	Она, по обыкновению, дожидалась меня у калитки, завернувшись в шубку; луна освещала ее милые губки, посиневшие от ночного холода.	холода	1
6	холода	Из-за холода многие просто не смогли показать свои скорости.	холода	1
7	холода	Мерзнуть от холода, недоедать-разве ради этого ушли они в плавание?	холода	1
8	холода	"Когда видишь посиневших от холода, бледных от усталости корреспондентов и ведущих, работающих в режиме ""нон-стоп "", вспоминаешь лишь одну фразу:"	холода	1
9	холода	От проема окна падал чистый белый свет, а в деревянную раму, как холст, прямо с холода да с ветра поставлена на вид была летняя казарма: маслянисто-зеленый фанерный барак, свежие кресты досок на оконцах.	холода	1
10	холода	Больше холода, больше балета, меньше мельтешения руками.	холода	1
11	холода	До того часа, покуда еще совсем не рассветало и невыспавшиеся, дрожащие от холода и возбуждения мальчики собирались на террасе Колюниной дачи, торопливо съедали по куску хлеба, запивали холодным молоком и под причитания вставшей проводить их бабушки – куда в такую рань? – по сухой еще траве, до того, как старшие братья и сестры успевали вернуться с ночных гулянок, брали накопанных накануне червяков, удочки, белое пластмассовое ведерко и уходили на старый песчаный карьер.	холода	1
12	холода	Простому человеку, жившему, предположим, в границах нынешней Московской области, лет триста назад ничто не угрожало смертью – если не считать, конечно, голода, холода, диких зверей, легкой простуды, которая в несколько дней сводила любого богатыря в могилу, и жестокости других людей.	холода	1
13	холода	Проснулась от холода.	холода	1
14	холода	Хотя волосы и созданы природой в первую очередь для защиты кожи головы от холода, пыли, жгучих солнечных лучей, им самим также необходимы уход и защита.	холода	1
15	холода	А Укапустин уже сидит на своем ящике с мышеловками и его с утра потрясывает от холода и других причин.	холода	1
16	холода	Слушая стыдливые объяснения Мустыгиных, Андрей обнимал дрожащее от холода тельце Али.	холода	1
