Index	Homograph	Context	TargetWord	Label
1	паром	"""Ирония судьбы, Или с легким паром! "" в новогоднюю ночь – это уже даже не традиция."	паром	па+ром
2	паром	В ванной почему-то нескончаемо шумела горячая вода: оттуда тянуло паром, и воздух в комнате стоял влажный, как в бане.	паром	па+ром
3	паром	Серый батон и плавленый сырок лежали на картонке, довольство прямо-таки струилось над ними розовым паром.	паром	па+ром
4	паром	Вызывали по поводу ремонта оборудования, – стараясь не дышать в лицо сестре винным паром, ответил Сергей.	паром	па+ром
5	паром	Выбрался из котельной, мазут – в емкости, разогреваемой паром, чтоб вязкое горючее стекало вниз, к форсункам.	паром	па+ром
6	паром	Она, в отличие от военных почтарок, жила на отшибе скромно, одиноко, грустная, малоразговорчивая, вроде как сытым кухонным паром ее разморило иль угорела она до полусна.	паром	па+ром
7	паром	Несколько пуль застопорило на еще исходящих паром кишках.	паром	па+ром
8	паром	Стал я его лечить горячим молоком и медом, паром разварной картошки.	паром	па+ром
9	паром	Если элементы из металла деформированы, их выправляют маленьким рихтовочным молотком или зажимают между металлическими пластинками, Покоробленные пластинки из панциря черепахи выправляют путем нагрева над паром с последующим охлаждением под прессом.	паром	па+ром
10	паром	По утрам, когда я ставлю его на плитку, он начинает призывать, закипает и разъяряется, плюется от счастья паром и кипятком.	паром	па+ром
11	паром	Чайник веселится, плюется паром во все стороны, приплясывает, подпрыгивает и победно грохочет.	паром	па+ром
12	паром	"И под конец Корнилов не выдержал – он пошел к леснику, забрал у него меч Ильи Муромца (он оказался обыкновенной бутафорской шпагой), и Потапов, хмурый и иронически брезгливый, довез его на колхозном ""газике "" до музея. ""Ну, с легким паром до будущих веников "", – сказал он на прощанье, и это была единственная шутка, которую Корнилов услышал за эту неделю (о разговоре с Дашей Потапов, видимо, ничего не знал)."	паром	па+ром
13	паром	Вода под мостом была черная и дымилась паром.	паром	па+ром
14	паром	Мама слюнявит палец, дотрагивается до утюга, горяч ли, набирает в рот воды, брызжет на белье, и оно, чуть влажное, прижатое горячим утюгом, отдает паром и уютным, свежим домашним запахом...	паром	па+ром
15	паром	Голова его окутана паром, в очках горят маленькие костры.	паром	па+ром
16	паром	Речь моя кипела, кипела, так и вышла вся паром.	паром	па+ром
17	паром	Хаотически бурлил, булькал, кряхтел огромный котел, охваченный пламенем, дымом, паром, и каждому из многих казалось, что именно он понимает закон кипения большого котла, знает, как заварили кашу и кому ее есть.	паром	па+ром
18	паром	Вода испаряется паром.	паром	па+ром
19	паром	Солнце тоже видится тебе и нам жарой и силой, а его паром из самовара можно зазастить и потушить – сразу на скатерти холод настанет.	паром	па+ром
20	паром	И, может, не надо Марфе фыркающих белым паром вахрамеевских рысаков, а вот сесть бы на эту лихо загнувшую голову деревянную лошадь – и за кого-то держаться – и чтоб ветром раздувало платье, ледком обжигало колени, а из плеча в плечо – как искра...	паром	па+ром
21	паром	А в бане уж готов, с сухим паром – свой «вахрамеевский» номер и к нему особенный, «вахрамеевский», подъезд, и особенное казанское мыло, и особенные – майской березы шелковые веники.	паром	па+ром
22	паром	С малиновым вас паром!	паром	па+ром
23	паром	И отбушевавши Новый год, в звоне ль шампанского, в гаме ли водочки с селедкой, входят в ледяной январь, бегут, краснея носом, с усами заиндевелыми, обдуваясь паром – кто на службу, кто торговать, по банкам и конторам.	паром	па+ром
24	паром	Кипит, обдает паром самовар.	паром	па+ром
25	паром	В самом низу, в подводной утробе «Атлантиды», тускло блистали сталью, сипели паром и сочились кипятком и маслом тысячепудовые громады котлов и всяческих других машин, топ кухни, раскаляемой исподу адскими топками, в которой варилось движение корабля, – клокотали страшные в своей сосредоточенности силы, передававшиеся в самый киль его, в бесконечно длинное подземелье, в круглый туннель, слабо озаренный электричеством, где медленно, с подавляющей человеческую душу неукоснительностью, вращался в своем маслянистом ложе исполинский вал, точно живое чудовище, протянувшееся в этом туннеле, похожем на жерло.	паром	па+ром
26	паром	Меня охватило, – рассказывает Гончаров, – как паром, домашнее баловство.	паром	па+ром
27	паром	Теперь они вдвоем метались по узкой полынье, охваченные холодным паром, а кругом на них смотрели вот такие же сумрачные и безучастно холодные горы.	паром	па+ром
28	паром	Челюсти на этом лице двигались, рот был неприятно перекошен, и из него вылетали вместе с паром пустые звуки, как звон по стеклу...	паром	па+ром
29	паром	В летней кухне никого, вовсю трещит просохшими дровами беленая печь, на ее плите исходит вкусным паром кастрюля с будущим обедом; поет, закипая, чайник; тяжко пыхтит напревшим комбикормом большой бак.	паром	па+ром
30	паром	Чайник закипел, выбрасывая из носика булькающий кипяток, папа тотчас снял ярящуюся, исходящую паром посудину с тагана, сковырнул крышку и сыпанул в парящее недро горсть «номера 36».	паром	па+ром
31	паром	Только почему-то не с Новым годом, а с легким паром.	паром	па+ром
32	паром	Вот возьмите «С легким паром!».	паром	па+ром
33	паром	Промерзший воздух обжигает легкие, горячие учащенные выдохи тысяч людей и животных, двигающихся сквозь пургу и ветер, сливаются, смешиваются, курятся над колоннами синеватым, как бы стекленеющим от холода паром.	паром	па+ром
34	паром	Вышла почти полная плошка: больше литра жирного пахучего молока – почти горячего, исходившего паром на морозе.	паром	па+ром
35	паром	А навстречу ему по дышащей весенним паром степи тянулась вереница повозок, груженных чемоданами, тюками, корзинами, мешками, узлами.	паром	па+ром
36	паром	Станция Таловая рапортовала об отсутствии происшествий, в то время как путевой обходчик Горюнин с расположенной неподалеку Чиглы клялся, что нынче утром едва успел соскочить с путей на обочину, пропуская невесть откуда вылетевший состав: два локомотива, пристегнутые один за другим, цугом, мчались на огромной скорости и дышали не белым, но черным паром; вагоны без окон блистали на солнце так ярко, что и не разглядишь, из какого металла сделаны; колеса не касались рельс.	паром	па+ром
37	паром	Люди побросали горящие головни, которые они до сих пор несли почему-то в руках, увидели свои красные, изуродованные руки, мокрых, измученных лошадей, дымившихся нежным, тающим паром, – и удивились тому, что они сделали в эту ночь.	паром	па+ром
38	паром	Сегодня он постарался выглядеть наилучшим образом: добыл из глухого пресса давно не ношенных костюмов светло-рыжий, кстати высунувший рукав пиджак от Kenzo, нашел относящиеся к нему кофейные брюки, погладил вялую шелковую рубашку, пахнувшую под паром из утюга спекшимися персиками.	паром	па+ром
39	паром	Остается дело за малым: заготовить дров, сделать остов для бани, изготовить парные веники и… с легким паром!	паром	па+ром
40	паром	Одно окошко было разбито, оттуда пахло сухим песком и паром, а сама оконная рама была покрыта инеем.	паром	па+ром
41	паром	В своих тулупчиках, надетых один на другой, в своих многочисленных штанах, с этим паром, с этим инеем на бровях и капюшонах продавцы рынка напоминали Петровой отчего-то застрявшие в снежной глуши паровозы из какой-то книги.	паром	па+ром
42	паром	Подошла какая-то баба в грязном фартуке с ведром, опрокинула его в кормушку за досками, и оттуда вместе с паром поднялась тёплая кисловатая вонь.	паром	па+ром
43	паром	Вода может становиться льдом и паром.	паром	па+ром
44	паром	Сжиженный газ», liquified natural gas, – вообще бессмыслица, если задуматься: давайте тогда воду называть сжиженным паром, а лёд – отвердевшей водой.	паром	па+ром
45	паром	С западной стороны, в нишах «теплого» зала – тепидария, стояли ванны для купания, выходя из которых отдыхающие отправлялись греться сухим паром в «жаркий» зал – кальдарий.	паром	па+ром
46	паром	Дыша холодным паром, парни ввалились в избушку и в один голос заявили:	паром	па+ром
47	паром	Если к концу зимы, вместо того чтобы зевать до вывиха челюсти по дороге на работу, а предусмотрительно, как умные люди, которые обо всем думают заранее, подхватить где-нибудь в трамвае насморк или просто кашлять изо всех сил в присутствии приглашенного на дом участкового терапевта, то можно остаться дома, напиться до седьмого поту чаю с малиновым вареньем, лимоном и липовым цветом, молока с медом, водки с перцем, надышаться картофельным паром, закапать в нос луковый сок, почувствовать вкус и запах лука даже кончиками пальцев ног, понаставить на груди и спине горчичников, нарисовать йодную сетку, обмотать горло толстым шарфом, надеть двойной вязки шерстяные колючие носки, в которые предварительно насыпать сухой горчицы, забраться под ватное одеяло, забыться беспокойным сном и среди множества серых и однообразных, как городская снежная каша, снов вдруг увидеть на несколько секунд синее море, белый прибой, зеленые пальмы, желтый песок и маленькую, с радужными и жемчужными перьями, высокой волнующейся грудью и длинными загорелыми ногами птичку, щебечущую:	паром	па+ром
48	паром	к столу подошел однорукий старик с орденом на засаленном лацкане, пустой рукав пристегнут к пиджаку. единственной своей рукой он поддерживал поднос, на котором исходила жирным паром тарелка с узбекским супом. однорукий (небритая, пепельная физиономия) спросил, можно ли присесть рядом, съесть тарелку супа. все ждали, что скажет дед. тогда дед произнес: здесь свободных мест нет. мы ждем родственников. старик посмотрел на деда, как будто не ожидал услышать ничего другого. поднос накренился. сулико подумал, что шурпа сейчас прольется на пол, но однорукий удержал поднос. он поплелся к подоконнику, потом стоял сгорбившись над тарелкой, обдувал алюминиевую ложку и понемногу отхлебывал жирный суп. иногда старик оглядывался на семейное застолье. наверное, ждал, когда придут родственники. отец с дядей начали спорить о том, где воздух целебней, в кобулети или в клайпеде. отец утверждал, что – в кобулети, дядя – что в клайпеде. бабка и мать не обращали на них внимания. дед сказал, что скоро выпадет снег. официант принес закуску.	паром	па+ром
49	паром	на репетициях немой сцены сулико стоит рядом с леночкой. она сидит на стуле. сулико наклоняется и вдыхает запах ее волос, будто он – бездомный пес, уткнувшийся носом в теплую дверь гастронома. леночкины волосы пахнут промерзлой улицей на окраине города, скользкой, неровной дорожкой, проложенной сквозь снежные завалы. пешеходы идут медленно, неуверенно ступая друг за другом, боясь оступиться. ее волосы пахнут красной пресней и кутузовским, и пельменной на улице хмельницкого: отстоишь очередь, возьмешь порцию, раскроешь ладони над паром общепитовской тарелки, согреешься дыханием других людей, сидящих к тебе спиной и боком. воткнешь, наконец, вилку без одного зубчика в недоваренное тесто с плевочком свинины внутри, поднесешь к теплому рту и проглотишь эту гадость, облепленную сметаной. волосы леночки пахнут школьной сценой, расторопным соловейчиковым (у него тоже есть особый запах – смесь цедры и бесстыдства), подмостками, костюмерной (она же – гримерная), в которой девочки переодеваются в пышные платья с многослойными юбками и становятся похожими на воздушное пирожное «безе».	паром	па+ром
50	паром	Хватайте объятые паром картофелины и ускользающие жирные ломти селедки.	паром	па+ром
51	паром	Степан ест исходящую паром гречу большими ложками, не обжигаясь.	паром	па+ром
52	паром	В центре костра на двух плоских камнях исходит паром большое пузатое ведро – ждет мяса.	паром	па+ром
53	паром	Зулейха входит; взгромождает исходящий густым паром таз на стол.	паром	па+ром
54	паром	Маска раскрывает впадину рта, дышит густым лохматым паром, шипит еле слышно.	паром	па+ром
55	паром	Он был родом с северо-запада России, умел плотничать, и после, как его не стало, о нём напоминали не только постройки во дворе: скамейка у калитки, два деревянных сарая, качели для внуков и банька — тёплая, с неповторимым запахом дерева, усиливающимся от нагрева стен паром.	паром	па+ром
56	паром	Воздух сгустился еще больше, наполнившись душистым паром.	паром	па+ром
57	паром	В подъезде пахло точно так же, как в котельной, потому что из подвала тянуло паром.	паром	па+ром
58	паром	Иначе сиди в ульпане от восьми до часу, исходя душным паром и засыпая (у меня смолоду такая реакция на попадание под дождь).	паром	па+ром
59	паром	Неужели вместе с паром на нас работает углекислый газ?	паром	па+ром
60	паром	Первых потребителей тепла снабжали паром.	паром	па+ром
61	паром	С легким паром!	паром	па+ром
62	паром	Курчатов и Александров поздравили участников события по-русски: «С легким паром!».	паром	па+ром
63	паром	Раскрытая кухня ресторана напоминала баню, банный обширный кафельный зал с грохотом тазов и паром.	паром	па+ром
64	паром	Воздух зацветает зеленоватыми стружками, ливнями, капустным паром, грибком.	паром	па+ром
65	паром	Вода, что из Оби взмывает паром, потом осядет снегом на Эльбрус».	паром	па+ром
66	паром	Дышали морозным паром в свете лампы.	паром	па+ром
67	паром	В общественной бане принята самоорганизация: «девочки» сами метут парилку «между паром», проветривают, поддают пару, машут полотенцами, чтобы пар осел.	паром	па+ром
68	паром	Если резко двигаться под этим паром, можно получить ожоги.	паром	па+ром
69	паром	Тут не до пива: в перерывах между паром женщины намазывают друг на друга кофе с медом, втирают в волосы соль, приклеивают пластырь к отвисающим подбородкам и шлифуют пятки вулканическими камнями.	паром	па+ром
70	паром	О живописной манере Тернера: «...он словно пишет цветным паром… бесплотно и воздушно».	паром	па+ром
71	паром	Эти сибариты были бы немало удивлены, если им привелось узнать, что теперь в просторном фригидарии, где они когда-то охлаждали разгоряченные паром тела, стоят странные каменные фигуры, отрубленные головы которых красуются в открытой витрине напротив…	паром	па+ром
72	паром	Кабина наполнилась паром, лобовое стекло запотело.	паром	па+ром
73	паром	Посредством экстракции хлороформом, перегонки экстракта с водяным паром и дробной кристаллизацией сухого остатка, ученый выделил действующее вещество навоза, которое назвал гуанозином.	паром	па+ром
74	паром	Средневековые боевые утюги с педальным приводом и острым паром, оставлявшие после себя выглаженную и выжженную землю.	паром	па+ром
75	паром	Конструкции автомобилей были самыми разнообразными: приводимыми в движение паром, электричеством, керосином и бензином.	паром	па+ром
76	паром	В домах Завеличья стоял дым, смешанный с паром.	паром	па+ром
77	паром	За отказ поклоняться языческим богам Валериана обезглавили, Цецилию же решили удушить горячим паром в ее собственной домашней парной-калидарии.	паром	па+ром
78	паром	Банным паром исходит бревенчатое придорожное кафе, а на огороженном чьём-то покосе качаются на волнах, ныряют и перекликаются дикие утки.	паром	па+ром
79	паром	Тетя Галя достает из верхнего кухонного шкафа металлическую коробку с чаем, ополаскивает кипятком заварник, насыпает в него щедро заварку и начинает наливать дышащую паром горячую воду.	паром	па+ром
80	паром	Ба одобрительно кивала головой, принимала царственной рукой большую чашку исходившего паром напитка и, перекатывая во рту кусочек сахара, запивала его большими глотками, громко клокоча где-то в зобу.	паром	па+ром
81	паром	За окном ветер играется большими хлопьями снега, по телевизору показывают «Иронию судьбы, или С легким паром», фильм, который мы очень любим.	паром	па+ром
82	паром	Про море я писал, что оно было большим и гладким, и туман, висящий над ним, казался паром кипящей воды.	паром	па+ром
83	паром	Подача пара на турбину сопровождалась шуточным поздравлением Игоря Васильевича: «С легким паром!».	паром	па+ром
84	паром	Влажный пар, поднимаясь по многочисленным зазорам между слоями раскаленных камней, дополнительно перегревается, становясь тем самым невидимым, или сверхлегким, и понастоящему целебным паром.	паром	па+ром
85	паром	А потом их ритм замутился белым паром.	паром	па+ром
86	паром	После тех слов душа Заики потеплела, паром поднялась к голове и по цветастому лицу растеклась блаженная улыбка.	паром	па+ром
87	паром	"Пар сбрасывается ""под воду"" и за время всплытия пузыри с паром схлопываются (пар отдаёт тепло воде в барботтере и ""растворяется"")."	паром	па+ром
88	паром	Но, может, сдули вместе с водяным паром, и концентрация Н2-воздух-пар вошла в зону детонации.	паром	па+ром
