Index	Homograph	Context	TargetWord	Label
1	волны	Анализируется возможность инициирования детонации в сверхзвуковом потоке смеси CH 4 + воздух за фронтом наклонной ударной волны	волны	1
2	волны	Особенности распространения сдвиговой упругой волны в акустической сверхрешетке типа магнетик – идеальный диамагнетик: условия локализации	волны	1
3	волны	На основе метода эффективной среды, корректно учитывающего динамическое взаимодействие спиновой и упругой подсистем, изучено влияние эффектов гиротропии на условия распространения и локализации сдвиговой упругой волны в полуограниченной магнитной сверхрешетке, состоящей из ферромагнитных и сверхпроводящих слоев.	волны	1
4	волны	Показано, что вдоль границы раздела возможно распространение электромагнитной волны, поля которой убывают по экспоненте в обе стороны от плоскости раздела решеток.	волны	1
5	волны	Определите частоту колебаний и длину волны.	волны	1
6	волны	Направление распространения волны совпадает с одной из сторон контура; плоскость контура совмещена с плоскостью колебаний вектора напряженности электрического поля E, амплитуда колебаний которого E	волны	1
7	волны	Определите частоту колебаний генератора электромагнитных волн и расстояние между ближайшими пучностями при распространении волны в воде с показателем преломления 1, 33.	волны	1
8	волны	Она это чувствовала и неустанно прыгала с одной океанской волны на другую, разыскивая остров со слоненком.	волны	1
9	волны	Во главе забастовочной волны выступили горняцкие коллективы.	волны	1
10	волны	Можно выделить три волны протестного движения, пиками которых стали 1992, 1995 и 1997 годы.	волны	1
11	волны	"Эмигрант второй волны Коряков писал о провинциальности ""Нового Журнала ""."	волны	1
12	волны	"Переписку "" из двух углов ""Георгий Владимирович хотел начать и с Владимиром Марковым, петербуржцем, эмигрантом второй волны, чья поэма "" Гурилевские романсы ""пришлась ему по душе."	волны	1
13	волны	"Прочел "" сочувственно ""роман "" Мнимые величины ""Николая Нарокова, эмигранта второй волны, которой Иванов постоянно интересовался, стараясь прочувствовать, что же такое русский человек, выросший при советской власти."	волны	1
14	волны	"Еще одна новинка теоретиков ""новой волны "" состоит в пересмотре понятия победы: оказывается, теперь главная стратегическая цель – уничтожение экономики, энергетики, мирного населения, после чего жертва агрессии должна капитулировать."	волны	1
15	волны	"Олигархи ""первой волны "", миллиардеры ""ельцинского призыва "", по лености решили не заниматься властью."	волны	1
16	волны	При поисках истоков славянства многоступенчатый ретроспективный метод подводит к среднеевропейской культурно-исторической общности полей погребальных урн, существовавшей в Центральной Европе (от Рейна на западе до Вислы на востоке) в период от 1250-1200 до 800-600 гг. до н. э. Эта общность восприняла и развила их культуру курганных погребений (1500-1250/ 1200 гг. до н. э.), формирование которой стало результатом крупной миграционной волны одной из групп индоевропейцев.	волны	1
17	волны	На правобережье Днестра готы поселились среди гето-даков еще во время первой миграционной волны, датируемой второй половиной II в.	волны	1
18	волны	Дело в том, что за них голосовали антикоммунисты-демократы первой волны.	волны	1
19	волны	"Для волжанина Шаляпина она – прежде всего повод показать ""простор речной волны "", раздолье родной земли, широту русского характера."	волны	1
20	волны	В гравитационно-волновой астрономии изучается излучение звезд в диапазоне частот от предельно низких до сверхвысоких с длиной волны от одного парсека до 3 мм.	волны	1
21	волны	Между тем параметры такой волны зависят от способности правильно и быстро принимать решения, а в конечном счете, по мнению многих исследователей, отражают мыслительные процессы.	волны	1
22	волны	"Но для формирования магнитозвуковой волны в плазме и обеспечения необходимого ""опрокидывания "" фронта с соответствующим формированием интенсивного индуцированного электрического поля, отвечающего за ускорение ионов."	волны	1
23	волны	Мы, демократы той волны – Андрей Сахаров, Юрий Афанасьев, Анатолий Собчак, – мечтали совсем о другом.	волны	1
24	волны	"Вряд ли следует в 2002 г. ожидать какой-либо ""волны "" вирусов для Linux, но некоторое оживление интереса со стороны ""вирусописателей "" возможно."	волны	1
25	волны	"Среди них поэт Евгений Рейн, коллеги по критическому цеху Вячеслав Курицын, Лиля Панн и Дмитрий Бавильский (последний назвал Шульпякова ни много ни мало ""звездой новой волны русской поэзии "")."	волны	1
26	волны	В самом устье реки и на озере делать было нечего из-за волны.	волны	1
27	волны	От нее по-прежнему исходило ощущение мира и вечности, и где бы она ни была, слышался таинственный рокот прибоя и плеск волны.	волны	1
28	волны	"Но – мгновенная – потому что этот момент пребывания-равновесия ""на переломе "", на гребне столь большой культурной волны – мгновенен."	волны	1
29	волны	"Две будто бы пейзажные строки в завязке "" Медного всадника ""заключают в себе всю драму поэмы, потому что живой человек (Евгений) гибнет как между этими двумя строками между двумя стихиями волны и камня – державного города."	волны	1
30	волны	"Но в тот памятный случай из прошлого лета, когда свадьба плавала по Байкалу, один подарок – само плаванье – как пасхальное шоколадное яйцо, внутри которого спрятана игрушка, содержал другой, не менее блестящий: посреди волны к теплоходу вдруг приблизился катер свежей оснастки типа ""Ярославца "", и с него в мегафон прокричали, чтобы жених принимал ""борт "" в свою собственность."	волны	1
31	волны	Опенок осенний в условиях Сочи дает три-четыре волны, становясь с каждой волной плотнее и темнее.	волны	1
32	волны	Причем опята первой волны называют летними опятами, хотя летний опенок совершенно иной гриб.	волны	1
33	волны	Можно попытаться связать необратимость времени с процессом рассеяния электромагнитного излучения, которое, как известно, распространяется в виде сферической волны, неограниченно расширяющейся в пространстве и никогда не возвращающейся назад.	волны	1
34	волны	"Ответ на это дает знаменитый дуализм "" волны и частицы "", с которым ученые столкнулись уже на заре развития квантовой физики."	волны	1
35	волны	От природы у нее были две волны каштановых волос над открытым лбом.	волны	1
36	волны	Заблеяли воздушные барашки-бекасы, ныряя с одной волны ветра на другую, а на дальнем, недоступном болоте в серебряные и медные трубы переливчато заиграли-закурлыкали журавли.	волны	1
37	волны	От волны надо было избавиться любой ценой.	волны	1
38	волны	"Серия передач ""Немецкой волны ""..."	волны	1
39	волны	Я тем временем не уходила в отпуск: нет ничего хуже заочной волны.	волны	1
40	волны	Встала Васюта, подошла и видит: лежит на полу перстень цвета морской волны.	волны	1
