Index	Homograph	Context	TargetWord	Label
1	ношу	И она среди всех тащит непосильную ношу.	ношу	но+шу
2	ношу	Поднявшись на ноги, он уже пристраивал на себя свою ношу – зеленый вещмешок и полевую сумку.	ношу	но+шу
3	ношу	Вообще ношу командир имел наверняка полегче, чем они двое, приметил фельдшер и взял с травы мокрую от росы винтовку.	ношу	но+шу
4	ношу	Когда уже взялись за ношу, к Пал Палычу шмыгнула санитарка и сунула в разинутый карман его бушлата круглое, крепкое, увесистое яблоко, которое сжимала в руке, как булыжник, и тут же отбежала.	ношу	но+шу
5	ношу	Руки с радостью вцепились в ношу, чтобы осилить – тот, другой, цеплялся уже в него, как если бы за жизнь, но с проклятьями глухими и болью, издавая то стон, то матерный рык.	ношу	но+шу
6	ношу	"Покуда Колюня строил планы, как присоединить обратно к Отечеству Аляску и отнять у Непала Эверест, чтобы именно на его земле располагалась высочайшая вершина мира, загадочные земельные дела творились в садоводческом товариществе ""Труд и отдых "": спортивную площадку, на которой дети играли в настольный теннис и волейбол, попадая мячом в провода, так что сыпались искры и несколько раз случалось короткое замыкание, отдали под участок проректору института, и возмущенные купавинские подростки грозились перебить захватчику окна, а еще годом раньше секретарю парткома выделили кусок улицы и часть санитарной зоны вокруг водонапорной башни, отчего участок у него напоминал по форме кособокий и неглаженый пионерский галстук, и несчастный партайгеноссе, ради куска земли взваливший на себя позорную ношу, был страшно обижен тем, что неторопливый проректор его обскакал, получив почти полноценный надел, а не обрезки."	ношу	но+шу
7	ношу	Через несколько секунд ему снова пришлось подхватить свою ношу, потому что толпа шатнулась влево; моя собственная тележка не доставляла мне особых хлопот.	ношу	но+шу
8	ношу	Он не знал о себе по меньшей мере трех вещей: где находится, зачем несет эту нелепую ношу – тяжелый чемоданчик столь неправильной формы, что его никак нельзя было поставить, а только набок положить, и третье, самое неприятное: что это за темный смерч, время от времени на него налетавший...	ношу	но+шу
9	ношу	Сургеев задрал по-волчьи голову в небо и мысленно взвыл, ропща на судьбу, ибо судьба была там, в Небе, только оттуда все человечки казались такими одинаковыми, что на одного можно взвалить все беды, не разбирая, выдержит ли человечек общечеловеческую ношу.	ношу	но+шу
10	ношу	И только один из собравшихся тогда в Колонном зале музыкантов (это был Иосиф Кобзон) выразил мне... соболезнование: он понимал, какую ношу я взваливаю на себя.	ношу	но+шу
11	ношу	Взвалил ношу не по себе и рухнул под ней.	ношу	но+шу
12	ношу	Заметив, однакож, после внимательного рассмотрения легкое колебание рубашки на груди страдальца, она перекрестилась, поставила фонарь и ношу свою на окно и сломя голову кинулась к старосте.	ношу	но+шу
13	ношу	Помню, как Тамара, моя тетка, несшая всю свою жизнь ношу одинокой старой девы, незадолго до смерти, будучи уже тяжело больной, попросила меня об одном одолжении.	ношу	но+шу
14	ношу	Хоть в зубы бери Светочкину ношу.	ношу	но+шу
15	ношу	И некому, как оказалось, теперь принять на себя их ношу.	ношу	но+шу
16	ношу	Подтянув ее ближе к себе, Степан, быстро толкнув под жабры большие ладони, стал плавить тяжелую ношу к бежавшему круто в студеную воду песчаному дальнему берегу.	ношу	но+шу
17	ношу	А есть папы-слингоносы, которые с жены эту ношу снимают, в прямом и переносном смысле, – и, кстати, у них младенцы нередко даже быстрее засыпают, потому что мама тревожная, невыспавшаяся, а папа спокоен, и это состояние передается малышу.	ношу	но+шу
18	ношу	Мужчины обычно скрывали ношу под пальто, женщины – под платьем.	ношу	но+шу
19	ношу	Не все мужчины готовы на этих условиях взваливать на себя ношу воспитания детей.	ношу	но+шу
20	ношу	Хорошо устроив на груди спальник и продукты, он лежа впрягся в основную ношу.	ношу	но+шу
21	ношу	Но ношу не бросил и дальше кожилился – с растерзанной штаниной и белой, до боли тощей ногой в коротком сапожке.	ношу	но+шу
22	ношу	Остановились, удерживая ношу на весу.	ношу	но+шу
23	ношу	Известный саксофонист, поклонник мисс Левински, он же президент Билл Клинтон сказал: «Она несла свою тяжкую ношу с достоинством, грацией и необычайным здравым смыслом».	ношу	но+шу
24	ношу	Выбирай себе ношу полегче.	ношу	но+шу
25	ношу	Вот! – по-собачьи дыша открытым ртом, ставит ношу на ступени крыльца.	ношу	но+шу
26	ношу	Она оказалась очень лёгкой, держать такую ношу было даже приятно.	ношу	но+шу
